frame	type	x	y
322	orientation_diff	426.9400291442871	829.4060935974121
442	orientation_diff	312.6569519042969	187.39041137695312
443	orientation_diff	313.3156318664551	187.05448150634766
444	orientation_diff	314.9297752380371	189.03698348999023
445	orientation_diff	311.98999404907227	191.55768203735352
504	orientation_diff	722.9405517578125	805.6930923461914
516	orientation_diff	716.6967391967773	800.5327491760254
517	orientation_diff	714.6359424591064	806.2846431732178
518	orientation_diff	716.2945690155029	800.1223297119141
519	orientation_diff	718.0942535400391	799.8931636810303
520	orientation_diff	712.6796379089355	800.0875663757324
527	orientation_diff	707.7784004211426	789.5422191619873
528	orientation_diff	706.8018569946289	790.4576225280762
529	orientation_diff	707.0573654174805	789.5232753753662
530	orientation_diff	704.1054801940918	795.02219581604
531	orientation_diff	707.9767990112305	789.5775337219238
532	orientation_diff	706.9630355834961	791.8978099822998
533	orientation_diff	705.8253402709961	790.5811920166016
534	orientation_diff	702.3092765808105	794.6760902404785
535	orientation_diff	704.4729995727539	792.8406267166138
536	orientation_diff	703.7517585754395	793.4524478912354
537	orientation_diff	703.030517578125	794.0642690658569
538	orientation_diff	705.1942405700684	792.2288055419922
539	orientation_diff	700.0065231323242	796.1873645782471
540	orientation_diff	699.6008014678955	791.7772693634033
541	orientation_diff	701.0078792572021	789.6573848724365
542	orientation_diff	701.9336891174316	791.7883949279785
543	orientation_diff	696.2036666870117	792.0091667175293
544	orientation_diff	695.5158529281616	791.8463954925537
545	orientation_diff	694.8280391693115	791.6836242675781
546	orientation_diff	692.5688323974609	791.4261436462402
547	orientation_diff	691.6283950805664	788.9214477539062
548	orientation_diff	686.4620056152344	785.9185218811035
549	orientation_diff	681.6848793029785	783.8314895629883
550	orientation_diff	678.977216720581	777.942985534668
591	orientation_diff	270.44095611572266	216.4222755432129
592	orientation_diff	271.03942108154297	216.8396759033203
593	orientation_diff	271.6378860473633	217.25707626342773
594	orientation_diff	272.68749618530273	221.46210479736328
595	orientation_diff	273.19316482543945	221.77348709106445
596	orientation_diff	272.1610565185547	220.342191696167
597	orientation_diff	272.5050926208496	220.8192901611328
598	orientation_diff	272.84912872314453	221.29638862609863
599	orientation_diff	271.81702041625977	219.86509323120117
600	orientation_diff	271.65557861328125	220.7981185913086
601	orientation_diff	269.97013092041016	224.35748291015625
602	orientation_diff	268.6640167236328	225.5003890991211
603	orientation_diff	273.65172958374023	226.32228469848633
604	orientation_diff	274.5402526855469	226.5094985961914
